er,time
"1,113.05",2017-08-31
"1,112.66",2017-08-30
"1,116.62",2017-08-29
"1,110.08",2017-08-28
,2017-08-27
,2017-08-26
"1,117.61",2017-08-25
"1,115.92",2017-08-24
"1,121.37",2017-08-23
"1,125.82",2017-08-22
"1,126.71",2017-08-21
,2017-08-20
,2017-08-19
"1,132.06",2017-08-18
"1,124.73",2017-08-17
"1,124.73",2017-08-16
,2017-08-15
"1,125.43",2017-08-14
,2017-08-13
,2017-08-12
"1,133.74",2017-08-11
"1,126.52",2017-08-10
"1,122.06",2017-08-09
"1,114.64",2017-08-08
"1,117.01",2017-08-07
,2017-08-06
,2017-08-05
"1,114.14",2017-08-04
"1,115.63",2017-08-03
"1,110.28",2017-08-02
"1,107.51",2017-08-01
"1,113.25",2017-07-31
,2017-07-30
,2017-07-29
"1,105.23",2017-07-28
"1,101.77",2017-07-27
"1,108.20",2017-07-26
"1,105.92",2017-07-25
"1,107.51",2017-07-24
,2017-07-23
,2017-07-22
"1,110.78",2017-07-21
"1,111.57",2017-07-20
"1,111.17",2017-07-19
"1,117.11",2017-07-18
"1,116.72",2017-07-17
,2017-07-16
,2017-07-15
"1,125.23",2017-07-14
"1,127.21",2017-07-13
"1,135.92",2017-07-12
"1,138",2017-07-11
"1,138.99",2017-07-10
,2017-07-09
,2017-07-08
"1,143.84",2017-07-07
"1,140.08",2017-07-06
"1,138.30",2017-07-05
"1,137.51",2017-07-04
"1,130.38",2017-07-03
,2017-07-02
,2017-07-01
"1,134.44",2017-06-30
"1,128.60",2017-06-29
"1,128.89",2017-06-28
"1,123.84",2017-06-27
"1,123.15",2017-06-26
,2017-06-25
,2017-06-24
"1,128.89",2017-06-23
"1,128.89",2017-06-22
"1,130.38",2017-06-21
"1,125.92",2017-06-20
"1,121.37",2017-06-19
,2017-06-18
,2017-06-17
"1,117.71",2017-06-16
"1,109.79",2017-06-15
"1,115.63",2017-06-14
"1,117.80",2017-06-13
"1,114.74",2017-06-12
,2017-06-11
,2017-06-10
"1,112.16",2017-06-09
"1,115.33",2017-06-08
"1,109.29",2017-06-07
,2017-06-06
"1,106.42",2017-06-05
,2017-06-04
,2017-06-03
"1,110.38",2017-06-02
"1,109.29",2017-06-01
"1,111.37",2017-05-31
"1,111.57",2017-05-30
"1,108.50",2017-05-29
,2017-05-28
,2017-05-27
"1,109.88",2017-05-26
"1,109.19",2017-05-25
"1,115.92",2017-05-24
"1,106.42",2017-05-23
"1,106.02",2017-05-22
,2017-05-21
,2017-05-20
"1,117.21",2017-05-19
"1,112.06",2017-05-18
"1,105.73",2017-05-17
"1,105.83",2017-05-16
"1,114.64",2017-05-15
,2017-05-14
,2017-05-13
"1,113.55",2017-05-12
"1,122.06",2017-05-11
"1,124.24",2017-05-10
,2017-05-09
"1,123.94",2017-05-08
,2017-05-07
,2017-05-06
,2017-05-05
"1,121.67",2017-05-04
,2017-05-03
"1,122.56",2017-05-02
,2017-05-01
,2017-04-30
,2017-04-29
