기간,Dubai,Brent,WTI
10년03월22일,76.65,80.54,81.25
10년03월23일,77.47,80.70,81.91
10년03월24일,77.45,79.62,80.61
10년03월25일,77.27,79.61,80.53
10년03월26일,77.67,79.29,80.00
10년03월29일,77.35,81.17,82.17
10년03월30일,78.56,81.28,82.37
10년03월31일,78.71,82.70,83.76
10년04월01일,80.14,84.01,84.87
10년04월05일,82.30,85.88,86.62
10년04월06일,83.20,86.15,86.84
10년04월07일,83.63,85.59,85.88
10년04월08일,83.55,84.81,85.39
10년04월09일,83.70,84.83,84.92
10년04월12일,83.57,84.77,84.34
10년04월13일,82.98,84.72,84.05
10년04월14일,83.48,86.15,85.84
10년04월15일,84.41,87.17,85.51
10년04월16일,84.86,85.99,83.24
10년04월19일,82.47,84.23,81.45
10년04월20일,83.16,84.80,83.45
10년04월21일,83.46,85.70,83.68
10년04월22일,84.06,85.67,83.70
10년04월23일,83.74,87.25,85.12
10년04월26일,85.40,86.83,84.20
10년04월27일,84.67,85.78,82.44
10년04월28일,83.38,86.16,83.22
10년04월29일,84.60,86.90,85.17
10년04월30일,85.78,87.44,86.15
10년05월03일,86.13,88.94,86.19
10년05월04일,87.40,85.67,82.74
10년05월05일,83.98,82.61,79.97
10년05월06일,81.38,79.83,77.11
10년05월07일,79.24,78.27,75.11
10년05월10일,80.76,80.12,76.80
10년05월11일,79.28,80.49,76.37
10년05월12일,80.97,81.20,75.65
10년05월13일,81.35,80.11,74.40
10년05월14일,79.23,77.18,71.61
10년05월17일,75.89,75.10,70.08
10년05월18일,75.22,74.43,69.41
10년05월19일,72.28,73.69,69.87
10년05월20일,72.22,71.84,68.01
10년05월21일,69.70,71.68,70.04
10년05월24일,70.22,71.17,70.21
10년05월25일,68.28,69.55,68.75
10년05월26일,69.19,71.74,71.51
10년05월27일,70.85,74.66,74.55
10년05월28일,-,74.02,73.97
10년05월31일,73.32,74.65,-
10년06월01일,72.11,72.71,72.58
10년06월02일,71.85,73.75,72.86
10년06월03일,74.45,75.41,74.61
10년06월04일,75.08,72.09,71.51
10년06월07일,70.86,72.12,71.44
10년06월08일,71.78,72.30,71.99
10년06월09일,71.55,74.27,74.38
10년06월10일,72.91,75.29,75.48
10년06월11일,74.03,74.35,73.78
10년06월14일,74.64,75.20,75.12
10년06월15일,73.84,76.20,76.94
10년06월16일,74.89,78.14,77.67
10년06월17일,76.20,78.68,76.79
10년06월18일,76.11,78.22,77.18
10년06월21일,77.00,78.82,77.82
10년06월22일,75.76,78.04,77.21
10년06월23일,75.76,76.27,76.35
10년06월24일,73.77,76.47,76.51
10년06월25일,73.90,78.12,78.86
10년06월28일,75.70,77.59,78.25
10년06월29일,73.70,75.44,75.94
10년06월30일,73.14,75.01,75.63
10년07월01일,71.85,72.34,72.95
10년07월02일,70.52,71.65,72.14
10년07월05일,69.88,71.47,-
10년07월06일,70.06,71.45,71.98
10년07월07일,69.29,73.51,74.07
10년07월08일,72.08,74.71,75.44
10년07월09일,73.21,75.42,76.09
10년07월12일,72.68,74.37,74.95
10년07월13일,71.69,76.65,77.15
10년07월14일,74.15,76.77,77.04
10년07월15일,73.63,76.19,76.62
10년07월16일,73.41,75.37,76.01
10년07월19일,72.68,75.62,76.54
10년07월20일,73.16,76.22,77.44
10년07월21일,73.66,75.37,76.56
10년07월22일,72.43,77.82,79.30
10년07월23일,74.58,77.45,78.98
10년07월26일,73.68,77.50,78.98
10년07월27일,74.36,76.13,77.50
10년07월28일,73.18,76.06,76.99
10년07월29일,73.40,77.59,78.36
10년07월30일,73.75,78.18,78.95
10년08월02일,76.01,80.82,81.34
10년08월03일,77.22,82.68,82.55
10년08월04일,78.22,82.20,82.47
10년08월05일,78.59,81.61,82.01
10년08월06일,78.43,80.16,80.70
10년08월09일,-,80.99,81.48
10년08월10일,77.13,79.60,80.25
10년08월11일,76.22,77.64,78.02
10년08월12일,74.28,75.52,75.74
10년08월13일,73.14,75.11,75.39
10년08월16일,72.50,74.85,75.24
10년08월17일,73.04,76.93,75.77
10년08월18일,73.58,76.47,75.42
10년08월19일,74.03,75.30,74.43
10년08월20일,72.68,74.26,73.46
10년08월23일,71.65,73.62,73.10
10년08월24일,70.62,72.38,71.63
10년08월25일,70.58,73.48,72.52
10년08월26일,71.43,75.02,73.36
10년08월27일,72.08,76.65,75.17
10년08월30일,73.43,76.60,74.70
10년08월31일,72.76,74.64,71.92
10년09월01일,72.89,76.35,73.91
10년09월02일,73.81,76.93,75.02
10년09월03일,74.25,76.67,74.60
10년09월06일,74.36,76.87,-
10년09월07일,73.74,77.74,74.09
10년09월08일,74.58,78.17,74.67
10년09월09일,75.33,77.47,74.25
10년09월10일,-,78.16,76.45
10년09월13일,75.42,79.03,77.19
10년09월14일,75.89,79.16,76.80
10년09월15일,75.91,78.91,76.02
10년09월16일,76.25,78.48,74.57
10년09월17일,76.26,78.21,73.66
10년09월20일,75.43,79.32,74.86
10년09월21일,76.37,78.42,73.52
10년09월22일,75.38,77.95,74.71
10년09월23일,74.80,78.11,75.18
10년09월24일,75.07,78.87,76.49
10년09월27일,75.83,78.57,76.52
10년09월28일,74.67,78.71,76.18
10년09월29일,75.79,80.77,77.86
10년09월30일,77.24,82.31,79.97
10년10월01일,79.70,83.75,81.58
10년10월04일,80.09,83.28,81.47
10년10월05일,80.15,84.84,82.82
10년10월06일,81.58,85.06,83.23
10년10월07일,82.00,83.43,81.67
10년10월08일,79.58,84.03,82.66
10년10월11일,80.92,83.72,82.21
10년10월12일,79.79,83.50,81.67
10년10월13일,81.21,84.64,83.01
10년10월14일,81.58,84.53,82.69
10년10월15일,80.72,82.45,81.25
10년10월18일,78.65,84.37,83.08
10년10월19일,80.77,81.10,79.49
10년10월20일,78.95,83.60,81.77
10년10월21일,80.39,81.83,80.56
10년10월22일,79.06,82.96,81.69
10년10월25일,80.96,83.54,82.52
10년10월26일,79.96,83.66,82.55
10년10월27일,79.83,83.23,81.94
10년10월28일,80.23,83.59,82.18
10년10월29일,79.86,83.15,81.43
10년11월01일,80.53,84.62,82.95
10년11월02일,82.24,85.41,83.90
10년11월03일,82.90,86.38,84.69
10년11월04일,84.70,88.00,86.49
10년11월05일,-,88.11,86.85
10년11월08일,85.04,88.46,87.06
10년11월09일,85.41,88.33,86.72
10년11월10일,85.71,88.96,87.81
10년11월11일,86.57,88.81,87.81
10년11월12일,84.60,86.34,84.88
10년11월15일,84.43,86.70,84.86
10년11월16일,83.88,84.73,82.34
10년11월17일,-,83.28,80.44
10년11월18일,81.98,85.05,81.85
10년11월19일,82.94,84.34,81.51
10년11월22일,83.03,83.96,81.74
10년11월23일,81.34,83.25,81.25
10년11월24일,81.31,85.84,83.86
10년11월25일,83.30,86.10,-
10년11월26일,83.23,85.58,83.76
10년11월29일,83.99,87.34,85.73
10년11월30일,84.53,85.92,84.11
10년12월01일,84.07,88.87,86.75
10년12월02일,86.16,90.69,88.00
10년12월03일,87.00,91.42,89.19
10년12월06일,88.52,91.45,89.38
10년12월07일,88.27,91.39,88.69
10년12월08일,87.37,90.77,88.28
10년12월09일,88.80,90.99,88.37
10년12월10일,88.66,90.48,87.79
10년12월13일,88.74,91.19,88.61
10년12월14일,88.89,91.21,88.28
10년12월15일,88.26,92.20,88.62
10년12월16일,89.60,91.71,87.70
10년12월17일,89.58,91.67,88.02
10년12월20일,89.34,92.74,88.81
10년12월21일,90.62,93.20,89.82
10년12월22일,90.63,93.65,90.48
10년12월23일,90.39,94.25,91.51
10년12월24일,91.58,93.77,-
